AREA,AREA NAME,Total_Crimes,LAT,LON
1,Central,17710,34.0474114229249,-118.25064755505365
2,Rampart,11203,34.06340341872713,-118.27420854235473
3,Southwest,13410,34.02021844891872,-118.31606395973155
4,Hollenbeck,8521,34.053593005515786,-118.20340295739936
5,Harbor,9195,33.77178491571506,-118.28537507340947
6,Hollywood,12542,34.09932233296125,-118.32953773720301
7,Wilshire,11168,34.06181198065902,-118.35176091511461
8,West LA,10506,34.05165823339044,-118.43982070245573
9,Van Nuys,9712,34.178838220757825,-118.44702864497529
10,West Valley,10282,34.18728492511184,-118.52099725734293
11,Northeast,10181,34.10717214419016,-118.24504363029172
12,77th Street,14568,33.97784289538715,-118.29714222267985
13,Newton,11930,34.009809555741825,-118.26067224643755
14,Pacific,13046,33.98450325003832,-118.42374632837652
15,N Hollywood,11191,34.171833705656326,-118.38482325082656
16,Foothill,7864,34.24820246693795,-118.37858039165819
17,Devonshire,9586,34.24984501356144,-118.53980591487586
18,Southeast,11746,33.938711016516265,-118.26690217946535
19,Mission,9271,34.255044105274514,-118.45063960737784
20,Olympic,12059,34.06044392569865,-118.30047955054316
21,Topanga,9460,34.19253063424947,-118.60094954545455
